noft_ocrn_dt,crtr_ymd,noft_se_cd,noft_se_nm,noft_ttl,noft_cn,nonstop_yn,upbdnb_se,xcse_sitn_bgng_dt,xcse_sitn_end_dt,line_nm_lst,stn_sctn_cd_lst,event_tags,primary_tag,primary_tag_ko,crowd_relevance,has_protest_kw,has_nonstop_kw,has_event_kw
2020-10-06T17:45:29,20201006,6,기타,5호선 마포역 무정차 통과,"5호선 마포역 인근 건물 화재발생으로 마포역사내 연기가 유입되어 5호선 상하선 열차가 무정차 통과하고 있습니다.
열차 이용에 불편을 드려 죄송합니다
-서울교통공사 종합관제단 10-06 17:43:23",Y,"상행, 하행",,,5호선,2529,nonstop,nonstop,무정차,medium,false,true,false
2020-10-06T18:16:47,20201006,6,기타,5호선 마포역 무정차 통과,"5호선 마포역 인접 건물 화재발생으로 인한 역사내 연기유입으로 5호선 마포역 상하선 열차 무정차 통과중입니다.
화재는 진압 완료되었으나 지하1층 대합실 냄새발생 등 시민의 안전을 위하여 열차가 무정차 통과중임을 양해바랍니다.
열차 이용에 불편을 드려 죄송합니다.
-서울교통공사 종합관제단 10-06 18:14:40",Y,"상행, 하행",,,5호선,2529,nonstop,nonstop,무정차,medium,false,true,false
2020-10-08T18:03:16,20201008,6,기타,한글날 집회 관련 무정차 사전 안내,"한글날 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 경찰 등 유관기관의 요청에 따라 광화문역, 경복궁역, 시청역(1,2호선) 무정차 통과가 될 수 있습니다. 코로나19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사-  10-08 18:01:09",Y,,2020-10-08T18:03:16,,"1호선, 2호선","0151, 0201",protest;nonstop,protest,시위·집회,high,true,true,false
2020-10-09T08:00:00,20201009,6,기타,한글날 무정차 통과 사전 안내,"한글날 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 경찰 등 유관기관의 요청에 따라 광화문역, 경복궁역, 시청역(1,2호선) 무정차 통과가 실시될 수 있습니다. 코로나19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사- 10-09 08:00:00",Y,,2020-10-09T08:00:00,,"1호선, 2호선","0151, 0201",protest;nonstop,protest,시위·집회,high,true,true,false
2020-11-13T10:34:40,20201113,6,기타,"서울역~청량리역 간 상,하선 운행 중단","1호선 서울역 철도공사 차량고장으로 서울역~청량리역 간 상,하선 운행 중단 되었습니다. 고객 여러분께서는 타교통 수단을 이용해 주시기 바랍니다. 열차 이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단
 11-13 10:32:15",Y,"상행, 하행",,,1호선,0150,nonstop,nonstop,무정차,medium,false,false,false
2020-11-13T10:50:22,20201113,6,기타,"용산역~광운대역 간 상,하선 운행 중단","1호선 용산역~광운대역 간 상,하선 운행 중단 되었습니다. 고객 여러분께서는 타교통 수단을 이용해 주시기 바랍니다. 열차 이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단 11-13 10:47:57",Y,"상행, 하행",,,1호선,"1003, 1002, 0150, 0151, 0152, 0153, 0154, 0155, 0159, 0156, 0157, 0158, 1015, 1016, 1017, 1018, 1019",nonstop,nonstop,무정차,medium,false,false,false
2021-01-12T16:47:06,20210112,6,기타,서울지역 대설주의보 발령으로 퇴근시간 연장운행,고객 여러분께 안내말씀 드립니다. 1. 12.(화) 15시40분 서울지역 대설주의보 발령으로 고객 불편을 해소하고자 퇴근시 30분 연장운행(18시~20시30분)하오니 이용에 참고하시기 바랍니다.-서울교통공사 종합관제단 01-12 16:44:10,N,,,,,,crowd_ops,crowd_ops,혼잡시간_운영대응,medium,false,false,false
2021-01-12T17:16:40,20210112,6,기타,제설대책 2단계 발령 증회 연장운행 시행,고객 여러분께 안내말씀 드립니다. 1. 12.(화) 15시40분 제설대책 2단계 발령에 따라 1~8호선 증회 연장운행(18시~22시)하오니 이용에 참고하시기 바랍니다.-서울교통공사 종합관제단 01-12 17:13:44,N,,,,"1호선, 2호선, 3호선, 4호선, 5호선, 6호선, 7호선, 8호선",,crowd_ops,crowd_ops,혼잡시간_운영대응,medium,false,false,false
2021-01-22T14:50:11,20210122,5,단순지연,장애인 단체 시위로 열차지연,"4호선 서울역 상선 제4598열차 및 승강장에서 현재 장애인 단체 시위로 당고개행 열차가 지연운행되고 있습니다. 열차이용에 불편을 드려 대단히 죄송합니다.-서울교통공사 종합관제단
  01-22 14:47:10",N,상행,,,4호선,0426,protest,protest,시위·집회,medium,true,false,false
2021-01-22T14:56:55,20210122,5,단순지연,장애인 단체 시위로 열차지연(최종),"4호선 서울역 상선 장애인 단체 시위는 종료되어 열차 정상운행(14:47) 중입니다. 열차이용에 불편을 드려 대단히 죄송합니다.-서울교통공사 종합관제단
 01-22 14:53:54",N,상행,,,4호선,0426,protest,protest,시위·집회,medium,true,false,false
2021-01-28T19:50:19,20210128,6,기타,구로디지털단지역 상부 천장 마감재 처짐 작업,"강풍으로 2호선 구로디지털단지역 외선 전차선 상부 천장 마감재 처짐 발생으로 안전운행을 위해 현재 제거 작업 조치 중 입니다.(운행중단 구간 대림역~봉천역)
열차이용에 불편을 드려 대단히 죄송합니다. 01-28 19:47:15",Y,외선,,,2호선,"0233, 0232, 0231, 0230, 0229",nonstop,nonstop,무정차,medium,false,false,false
